"Faça uma cópia da planilha para realizar o desafio em:
Arquivo > Fazer uma cópia",,,,,,,
Nº de vendas,Nº de vendas confirmadas,Qtd de acessos,Data,GMV,Tipo,Categoria,Parceiro
8,3,27,2022-03-09,"R$ 1.861,41",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
18,17,127,2022-03-09,"R$ 7.100,75",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
94,84,1918,2022-03-09,"R$ 116.454,69",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
57,57,609,2022-03-10,"R$ 33.678,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
19,8,158,2022-03-10,"R$ 18.417,51",Padrão,VIAGEM E TURISMO,Parceiro-1561
10,7,105,2022-03-10,"R$ 42.972,80",Padrão,MODA E ACESSÓRIOS,Parceiro-169
14,10,243,2022-03-10,"R$ 7.196,65",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
26,22,118,2022-03-10,"R$ 17.569,96",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
10984,9454,89953,2022-03-10,"R$ 14.823.930,87",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2
42,28,536,2022-03-10,"R$ 186.255,73",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2171
2005,1899,15945,2022-03-10,"R$ 1.678.213,23",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
9437,8645,41563,2022-03-10,"R$ 2.016.269,76",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-233
650,469,4755,2022-03-10,"R$ 702.757,64",Padrão,VIAGEM E TURISMO,Parceiro-262
101,93,665,2022-03-10,"R$ 39.422,79",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
862,678,4177,2022-03-10,"R$ 133.536,73",Padrão,BELEZA E SAÚDE,Parceiro-463
255,215,1581,2022-03-10,"R$ 49.647,38",Padrão,MODA E ACESSÓRIOS,Parceiro-49
73,67,415,2022-03-10,"R$ 15.295,65",Padrão,BELEZA E SAÚDE,Parceiro-51
56,48,477,2022-03-10,"R$ 19.046,62",Padrão,ESPORTE E LAZER,Parceiro-525
64,31,556,2022-03-10,"R$ 8.174,36",Padrão,VIAGEM E TURISMO,Parceiro-6095
12,9,107,2022-03-10,"R$ 2.841,07",Padrão,ESPORTE E LAZER,Parceiro-62
26,26,239,2022-03-10,"R$ 7.343,31",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
4,1,28,2022-03-10,"R$ 1.290,30",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
29,27,174,2022-03-10,"R$ 10.555,20",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
92,87,1764,2022-03-10,"R$ 94.913,67",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
38,34,538,2022-03-11,"R$ 20.663,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
18,6,149,2022-03-11,"R$ 32.931,82",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,4,53,2022-03-11,"R$ 25.074,40",Padrão,MODA E ACESSÓRIOS,Parceiro-169
9,7,258,2022-03-11,"R$ 4.101,22",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
11,8,57,2022-03-11,"R$ 27.567,84",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3993,3539,40458,2022-03-11,"R$ 2.817.058,81",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
83,60,1724,2022-03-11,"R$ 387.210,75",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1128,1031,10077,2022-03-11,"R$ 857.738,12",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
8758,7979,40643,2022-03-11,"R$ 2.150.708,54",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-233
603,416,5083,2022-03-11,"R$ 765.484,08",Padrão,VIAGEM E TURISMO,Parceiro-262
83,73,628,2022-03-11,"R$ 35.746,54",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
794,701,3822,2022-03-11,"R$ 119.227,66",Padrão,BELEZA E SAÚDE,Parceiro-463
241,205,1592,2022-03-11,"R$ 56.348,59",Padrão,MODA E ACESSÓRIOS,Parceiro-49
65,55,413,2022-03-11,"R$ 20.430,65",Padrão,BELEZA E SAÚDE,Parceiro-51
72,55,531,2022-03-11,"R$ 28.538,22",Padrão,ESPORTE E LAZER,Parceiro-525
65,37,482,2022-03-11,"R$ 8.146,11",Padrão,VIAGEM E TURISMO,Parceiro-6095
12,11,95,2022-03-11,"R$ 2.152,54",Padrão,ESPORTE E LAZER,Parceiro-62
20,17,179,2022-03-11,"R$ 5.057,50",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
8,7,43,2022-03-11,"R$ 2.255,04",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
28,23,188,2022-03-11,"R$ 8.360,95",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
96,92,1813,2022-03-11,"R$ 141.801,61",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
29,29,406,2022-03-12,"R$ 17.435,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
16,7,127,2022-03-12,"R$ 14.426,50",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,4,37,2022-03-12,"R$ 10.069,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
9,7,268,2022-03-12,"R$ 4.815,63",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
14,12,58,2022-03-12,"R$ 16.367,82",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2031,1797,35064,2022-03-12,"R$ 1.864.040,44",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
20,19,656,2022-03-12,"R$ 34.053,22",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
974,893,8199,2022-03-12,"R$ 650.949,43",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
12128,10978,61103,2022-03-12,"R$ 4.170.689,03",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-233
496,341,3010,2022-03-12,"R$ 696.578,41",Padrão,VIAGEM E TURISMO,Parceiro-262
74,66,497,2022-03-12,"R$ 65.984,10",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
629,554,2888,2022-03-12,"R$ 101.783,53",Padrão,BELEZA E SAÚDE,Parceiro-463
204,175,1334,2022-03-12,"R$ 43.301,77",Padrão,MODA E ACESSÓRIOS,Parceiro-49
80,73,462,2022-03-12,"R$ 21.827,90",Padrão,BELEZA E SAÚDE,Parceiro-51
34,29,421,2022-03-12,"R$ 9.525,69",Padrão,ESPORTE E LAZER,Parceiro-525
38,25,284,2022-03-12,"R$ 4.035,03",Padrão,VIAGEM E TURISMO,Parceiro-6095
18,16,111,2022-03-12,"R$ 3.200,42",Padrão,ESPORTE E LAZER,Parceiro-62
12,11,132,2022-03-12,"R$ 4.183,04",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
1,0,5,2022-03-12,"R$ 179,94",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
21,19,115,2022-03-12,"R$ 7.466,59",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
80,78,1426,2022-03-12,"R$ 100.573,31",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
29,29,459,2022-03-13,"R$ 26.047,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
19,10,147,2022-03-13,"R$ 21.795,31",Padrão,VIAGEM E TURISMO,Parceiro-1561
0,0,31,2022-03-13,"R$ 0,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
7,6,286,2022-03-13,"R$ 4.066,74",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
14,12,85,2022-03-13,"R$ 36.208,22",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2146,1953,36165,2022-03-13,"R$ 1.805.684,26",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
15,14,372,2022-03-13,"R$ 8.243,89",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2171
998,939,9092,2022-03-13,"R$ 623.930,35",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
7839,7094,39258,2022-03-13,"R$ 1.882.903,77",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-233
670,489,5703,2022-03-13,"R$ 909.325,27",Padrão,VIAGEM E TURISMO,Parceiro-262
86,76,571,2022-03-13,"R$ 33.339,36",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
608,528,2876,2022-03-13,"R$ 105.197,04",Padrão,BELEZA E SAÚDE,Parceiro-463
274,253,1882,2022-03-13,"R$ 58.700,33",Padrão,MODA E ACESSÓRIOS,Parceiro-49
81,74,499,2022-03-13,"R$ 24.489,75",Padrão,BELEZA E SAÚDE,Parceiro-51
27,22,389,2022-03-13,"R$ 8.803,05",Padrão,ESPORTE E LAZER,Parceiro-525
54,23,385,2022-03-13,"R$ 5.015,05",Padrão,VIAGEM E TURISMO,Parceiro-6095
21,18,151,2022-03-13,"R$ 4.203,95",Padrão,ESPORTE E LAZER,Parceiro-62
17,16,153,2022-03-13,"R$ 3.315,88",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
3,1,18,2022-03-13,"R$ 464,70",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
10,10,61,2022-03-13,"R$ 2.239,55",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
84,78,1507,2022-03-13,"R$ 128.274,17",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
76,76,745,2022-03-14,"R$ 60.779,75",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
23,10,187,2022-03-14,"R$ 17.959,05",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,5,64,2022-03-14,"R$ 15.547,70",Padrão,MODA E ACESSÓRIOS,Parceiro-169
12,10,310,2022-03-14,"R$ 16.143,90",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
27,22,143,2022-03-14,"R$ 61.486,78",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2539,2261,45433,2022-03-14,"R$ 2.445.838,00",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
30,25,637,2022-03-14,"R$ 257.930,39",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
2969,2757,22280,2022-03-14,"R$ 2.606.114,14",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
8831,8057,50034,2022-03-14,"R$ 2.055.901,27",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-233
718,510,6955,2022-03-14,"R$ 861.869,62",Padrão,VIAGEM E TURISMO,Parceiro-262
112,101,701,2022-03-14,"R$ 51.240,82",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1265,1027,5779,2022-03-14,"R$ 203.205,46",Padrão,BELEZA E SAÚDE,Parceiro-463
301,273,1982,2022-03-14,"R$ 63.094,91",Padrão,MODA E ACESSÓRIOS,Parceiro-49
48,44,432,2022-03-14,"R$ 10.942,40",Padrão,BELEZA E SAÚDE,Parceiro-51
44,34,491,2022-03-14,"R$ 15.227,98",Padrão,ESPORTE E LAZER,Parceiro-525
120,70,840,2022-03-14,"R$ 14.123,39",Padrão,VIAGEM E TURISMO,Parceiro-6095
19,13,143,2022-03-14,"R$ 2.833,97",Padrão,ESPORTE E LAZER,Parceiro-62
16,13,209,2022-03-14,"R$ 5.584,79",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
33,3,182,2022-03-14,"R$ 9.741,05",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
26,24,150,2022-03-14,"R$ 9.404,77",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
125,112,2103,2022-03-14,"R$ 152.910,38",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
72,68,775,2022-03-15,"R$ 38.654,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
24,11,253,2022-03-15,"R$ 23.670,09",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,4,69,2022-03-15,"R$ 16.157,20",Padrão,MODA E ACESSÓRIOS,Parceiro-169
17,13,235,2022-03-15,"R$ 11.051,95",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
28,22,148,2022-03-15,"R$ 49.397,05",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2698,2387,50002,2022-03-15,"R$ 2.461.189,31",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
81,77,3150,2022-03-15,"R$ 201.869,22",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
3471,3229,26119,2022-03-15,"R$ 2.950.851,82",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
11933,11043,63513,2022-03-15,"R$ 2.712.696,97",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-233
792,570,6455,2022-03-15,"R$ 828.738,36",Padrão,VIAGEM E TURISMO,Parceiro-262
116,106,890,2022-03-15,"R$ 31.737,34",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1288,1043,6205,2022-03-15,"R$ 232.399,11",Padrão,BELEZA E SAÚDE,Parceiro-463
364,313,2794,2022-03-15,"R$ 72.253,07",Padrão,MODA E ACESSÓRIOS,Parceiro-49
115,103,842,2022-03-15,"R$ 33.318,59",Padrão,BELEZA E SAÚDE,Parceiro-51
103,84,712,2022-03-15,"R$ 37.099,52",Padrão,ESPORTE E LAZER,Parceiro-525
118,55,1073,2022-03-15,"R$ 11.898,23",Padrão,VIAGEM E TURISMO,Parceiro-6095
18,15,177,2022-03-15,"R$ 3.598,45",Padrão,ESPORTE E LAZER,Parceiro-62
42,36,340,2022-03-15,"R$ 12.307,48",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
37,6,205,2022-03-15,"R$ 9.824,56",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
66,65,283,2022-03-15,"R$ 17.627,50",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
145,128,2723,2022-03-15,"R$ 174.310,14",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
40,39,576,2022-03-16,"R$ 21.974,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
27,14,202,2022-03-16,"R$ 29.800,07",Padrão,VIAGEM E TURISMO,Parceiro-1561
8,7,65,2022-03-16,"R$ 42.794,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,7,174,2022-03-16,"R$ 7.217,96",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
21,17,149,2022-03-16,"R$ 31.903,32",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2967,2614,41017,2022-03-16,"R$ 2.664.517,87",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
34,22,816,2022-03-16,"R$ 32.305,08",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2171
2474,2299,24317,2022-03-16,"R$ 2.258.424,76",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5299,4879,27811,2022-03-16,"R$ 1.030.033,34",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
738,516,6136,2022-03-16,"R$ 747.519,28",Padrão,VIAGEM E TURISMO,Parceiro-262
85,75,599,2022-03-16,"R$ 23.988,83",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1110,898,5304,2022-03-16,"R$ 190.502,26",Padrão,BELEZA E SAÚDE,Parceiro-463
280,245,2102,2022-03-16,"R$ 53.827,75",Padrão,MODA E ACESSÓRIOS,Parceiro-49
84,75,486,2022-03-16,"R$ 29.784,20",Padrão,BELEZA E SAÚDE,Parceiro-51
76,62,535,2022-03-16,"R$ 27.604,23",Padrão,ESPORTE E LAZER,Parceiro-525
98,51,909,2022-03-16,"R$ 9.912,61",Padrão,VIAGEM E TURISMO,Parceiro-6095
16,15,127,2022-03-16,"R$ 3.720,72",Padrão,ESPORTE E LAZER,Parceiro-62
26,19,276,2022-03-16,"R$ 6.473,82",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
30,9,114,2022-03-16,"R$ 8.879,46",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
25,23,143,2022-03-16,"R$ 6.310,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
170,156,2338,2022-03-16,"R$ 238.046,73",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
40,40,509,2022-03-17,"R$ 33.040,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
12,6,122,2022-03-17,"R$ 12.105,68",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,2,73,2022-03-17,"R$ 8.019,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
6,4,165,2022-03-17,"R$ 3.365,22",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
19,15,129,2022-03-17,"R$ 67.137,52",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2286,2014,23851,2022-03-17,"R$ 1.755.726,92",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
26,21,576,2022-03-17,"R$ 14.724,28",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2171
2538,2346,20785,2022-03-17,"R$ 2.063.231,30",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4811,4382,24148,2022-03-17,"R$ 978.997,50",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
590,426,4017,2022-03-17,"R$ 667.241,73",Padrão,VIAGEM E TURISMO,Parceiro-262
84,73,596,2022-03-17,"R$ 31.010,60",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1154,914,5129,2022-03-17,"R$ 205.917,38",Padrão,BELEZA E SAÚDE,Parceiro-463
262,225,1753,2022-03-17,"R$ 52.166,83",Padrão,MODA E ACESSÓRIOS,Parceiro-49
44,38,350,2022-03-17,"R$ 10.351,65",Padrão,BELEZA E SAÚDE,Parceiro-51
68,52,426,2022-03-17,"R$ 22.359,82",Padrão,ESPORTE E LAZER,Parceiro-525
84,37,693,2022-03-17,"R$ 11.888,36",Padrão,VIAGEM E TURISMO,Parceiro-6095
16,15,152,2022-03-17,"R$ 3.093,17",Padrão,ESPORTE E LAZER,Parceiro-62
28,25,257,2022-03-17,"R$ 8.154,21",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
19,4,86,2022-03-17,"R$ 6.020,18",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
20,20,83,2022-03-17,"R$ 6.582,25",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
130,118,2168,2022-03-17,"R$ 162.295,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
44,43,485,2022-03-18,"R$ 24.058,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
12,7,134,2022-03-18,"R$ 6.835,53",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,6,80,2022-03-18,"R$ 15.394,45",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,9,156,2022-03-18,"R$ 7.335,76",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
20,16,97,2022-03-18,"R$ 23.938,54",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2369,2078,22341,2022-03-18,"R$ 1.686.626,74",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
25,22,512,2022-03-18,"R$ 60.266,92",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2171
1244,1153,10204,2022-03-18,"R$ 724.313,67",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3933,3547,21490,2022-03-18,"R$ 869.161,78",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
488,362,3571,2022-03-18,"R$ 508.539,31",Padrão,VIAGEM E TURISMO,Parceiro-262
82,79,524,2022-03-18,"R$ 30.636,69",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
960,746,4521,2022-03-18,"R$ 158.784,00",Padrão,BELEZA E SAÚDE,Parceiro-463
240,213,1545,2022-03-18,"R$ 48.619,57",Padrão,MODA E ACESSÓRIOS,Parceiro-49
48,46,334,2022-03-18,"R$ 13.535,50",Padrão,BELEZA E SAÚDE,Parceiro-51
59,47,365,2022-03-18,"R$ 16.948,16",Padrão,ESPORTE E LAZER,Parceiro-525
64,33,611,2022-03-18,"R$ 7.460,84",Padrão,VIAGEM E TURISMO,Parceiro-6095
11,11,98,2022-03-18,"R$ 2.336,70",Padrão,ESPORTE E LAZER,Parceiro-62
23,22,191,2022-03-18,"R$ 6.609,31",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
18,4,74,2022-03-18,"R$ 5.188,82",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
11,11,111,2022-03-18,"R$ 2.780,65",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
111,102,1834,2022-03-18,"R$ 134.761,69",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
29,29,399,2022-03-19,"R$ 34.175,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
12,6,119,2022-03-19,"R$ 25.074,75",Padrão,VIAGEM E TURISMO,Parceiro-1561
3,2,55,2022-03-19,"R$ 19.276,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
6,5,153,2022-03-19,"R$ 4.676,85",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
18,18,68,2022-03-19,"R$ 27.881,13",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1812,1580,18004,2022-03-19,"R$ 1.374.847,96",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
14,12,317,2022-03-19,"R$ 59.794,19",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
957,913,8370,2022-03-19,"R$ 592.764,81",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
3340,2978,17812,2022-03-19,"R$ 967.141,49",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
380,265,2897,2022-03-19,"R$ 475.799,79",Padrão,VIAGEM E TURISMO,Parceiro-262
54,51,447,2022-03-19,"R$ 26.802,00",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
697,566,3304,2022-03-19,"R$ 121.825,04",Padrão,BELEZA E SAÚDE,Parceiro-463
205,181,1310,2022-03-19,"R$ 43.185,25",Padrão,MODA E ACESSÓRIOS,Parceiro-49
33,31,192,2022-03-19,"R$ 12.817,90",Padrão,BELEZA E SAÚDE,Parceiro-51
53,36,395,2022-03-19,"R$ 18.065,28",Padrão,ESPORTE E LAZER,Parceiro-525
38,20,425,2022-03-19,"R$ 3.869,44",Padrão,VIAGEM E TURISMO,Parceiro-6095
13,12,89,2022-03-19,"R$ 2.829,30",Padrão,ESPORTE E LAZER,Parceiro-62
15,15,124,2022-03-19,"R$ 5.169,48",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
11,0,44,2022-03-19,"R$ 1.990,46",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
17,15,68,2022-03-19,"R$ 5.129,00",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
78,71,1403,2022-03-19,"R$ 110.187,03",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
24,24,403,2022-03-20,"R$ 10.287,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
15,11,160,2022-03-20,"R$ 21.511,67",Padrão,VIAGEM E TURISMO,Parceiro-1561
4,4,54,2022-03-20,"R$ 11.435,30",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,9,177,2022-03-20,"R$ 6.179,64",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
22,20,105,2022-03-20,"R$ 32.297,84",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
1709,1484,19100,2022-03-20,"R$ 1.482.773,98",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
23,22,383,2022-03-20,"R$ 16.016,71",Promocional,LOJA DE DEPARTAMENTOS,Parceiro-2171
1189,1122,9654,2022-03-20,"R$ 769.805,28",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
4141,3734,21611,2022-03-20,"R$ 1.080.818,86",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
597,422,4775,2022-03-20,"R$ 722.108,78",Padrão,VIAGEM E TURISMO,Parceiro-262
84,82,516,2022-03-20,"R$ 37.203,17",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
768,613,3499,2022-03-20,"R$ 137.365,33",Padrão,BELEZA E SAÚDE,Parceiro-463
282,253,1818,2022-03-20,"R$ 57.258,01",Padrão,MODA E ACESSÓRIOS,Parceiro-49
25,23,210,2022-03-20,"R$ 5.229,45",Padrão,BELEZA E SAÚDE,Parceiro-51
64,54,377,2022-03-20,"R$ 20.496,53",Padrão,ESPORTE E LAZER,Parceiro-525
55,29,515,2022-03-20,"R$ 6.707,96",Padrão,VIAGEM E TURISMO,Parceiro-6095
16,15,138,2022-03-20,"R$ 2.821,95",Padrão,ESPORTE E LAZER,Parceiro-62
14,13,155,2022-03-20,"R$ 3.682,19",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
13,3,79,2022-03-20,"R$ 5.422,94",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
20,19,103,2022-03-20,"R$ 5.515,90",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
105,99,1456,2022-03-20,"R$ 143.622,97",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
42,39,379,2022-03-21,"R$ 30.220,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
9,5,128,2022-03-21,"R$ 9.263,96",Padrão,VIAGEM E TURISMO,Parceiro-1561
2,2,69,2022-03-21,"R$ 6.845,00",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,9,90,2022-03-21,"R$ 5.219,40",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
11,11,82,2022-03-21,"R$ 8.073,11",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
2553,2231,25101,2022-03-21,"R$ 2.425.275,26",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
24,21,208,2022-03-21,"R$ 12.671,45",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1441,1350,12526,2022-03-21,"R$ 952.829,06",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5062,4594,26682,2022-03-21,"R$ 1.154.199,40",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
652,481,6367,2022-03-21,"R$ 689.448,70",Padrão,VIAGEM E TURISMO,Parceiro-262
114,103,774,2022-03-21,"R$ 43.785,43",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
847,650,4469,2022-03-21,"R$ 125.779,63",Padrão,BELEZA E SAÚDE,Parceiro-463
291,253,1884,2022-03-21,"R$ 60.528,70",Padrão,MODA E ACESSÓRIOS,Parceiro-49
27,25,288,2022-03-21,"R$ 7.186,10",Padrão,BELEZA E SAÚDE,Parceiro-51
64,52,390,2022-03-21,"R$ 18.749,72",Padrão,ESPORTE E LAZER,Parceiro-525
101,46,813,2022-03-21,"R$ 10.651,42",Padrão,VIAGEM E TURISMO,Parceiro-6095
21,19,167,2022-03-21,"R$ 4.764,48",Padrão,ESPORTE E LAZER,Parceiro-62
17,15,200,2022-03-21,"R$ 4.500,80",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
10,2,46,2022-03-21,"R$ 3.411,82",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
36,32,1304,2022-03-21,"R$ 15.231,60",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-8152
102,93,2062,2022-03-21,"R$ 143.963,18",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
30,28,386,2022-03-22,"R$ 30.175,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
18,10,148,2022-03-22,"R$ 39.337,66",Padrão,VIAGEM E TURISMO,Parceiro-1561
