"Faça uma cópia da planilha para realizar o desafio em:
Arquivo > Fazer uma cópia",,,,,,,
Nº de vendas,Nº de vendas confirmadas,Qtd de acessos,Data,GMV,Tipo,Categoria,Parceiro
261,243,1660,2022-01-09,"R$ 54.655,66",Padrão,MODA E ACESSÓRIOS,Parceiro-49
51,47,448,2022-01-09,"R$ 17.826,35",Padrão,BELEZA E SAÚDE,Parceiro-51
89,72,635,2022-01-09,"R$ 33.984,77",Padrão,ESPORTE E LAZER,Parceiro-525
52,26,410,2022-01-09,"R$ 4.704,93",Padrão,VIAGEM E TURISMO,Parceiro-6095
11,11,101,2022-01-09,"R$ 2.288,34",Padrão,ESPORTE E LAZER,Parceiro-62
24,21,236,2022-01-09,"R$ 6.144,02",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
90,88,1647,2022-01-09,"R$ 100.090,65",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
51,47,573,2022-01-10,"R$ 33.920,50",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
14,4,95,2022-01-10,"R$ 10.981,97",Padrão,VIAGEM E TURISMO,Parceiro-1561
6,4,71,2022-01-10,"R$ 14.968,60",Padrão,MODA E ACESSÓRIOS,Parceiro-169
10,9,86,2022-01-10,"R$ 5.658,54",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
3,3,35,2022-01-10,"R$ 12.798,15",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
5952,5268,46515,2022-01-10,"R$ 3.939.918,97",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
12,10,156,2022-01-10,"R$ 8.047,29",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
991,859,12699,2022-01-10,"R$ 648.797,77",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5208,4757,24969,2022-01-10,"R$ 905.994,19",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
513,354,5376,2022-01-10,"R$ 519.750,90",Padrão,VIAGEM E TURISMO,Parceiro-262
63,61,639,2022-01-10,"R$ 26.391,06",Promocional,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
1056,787,4538,2022-01-10,"R$ 151.641,44",Padrão,BELEZA E SAÚDE,Parceiro-463
393,358,2444,2022-01-10,"R$ 68.790,51",Padrão,MODA E ACESSÓRIOS,Parceiro-49
79,74,672,2022-01-10,"R$ 23.823,15",Padrão,BELEZA E SAÚDE,Parceiro-51
96,79,714,2022-01-10,"R$ 27.177,75",Padrão,ESPORTE E LAZER,Parceiro-525
58,39,487,2022-01-10,"R$ 6.060,07",Padrão,VIAGEM E TURISMO,Parceiro-6095
12,11,107,2022-01-10,"R$ 2.412,36",Padrão,ESPORTE E LAZER,Parceiro-62
24,21,282,2022-01-10,"R$ 7.552,71",Padrão,MODA E ACESSÓRIOS,Parceiro-6539
0,0,1,2022-01-10,"R$ 0,00",Padrão,ALIMENTOS E BEBIDAS,Parceiro-7749
137,128,2477,2022-01-10,"R$ 121.955,51",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-82
50,44,406,2022-01-11,"R$ 25.459,00",Padrão,MODA E ACESSÓRIOS,Parceiro-1335
13,7,91,2022-01-11,"R$ 23.702,96",Padrão,VIAGEM E TURISMO,Parceiro-1561
8,8,77,2022-01-11,"R$ 16.961,25",Padrão,MODA E ACESSÓRIOS,Parceiro-169
7,7,83,2022-01-11,"R$ 4.102,55",Padrão,MODA E ACESSÓRIOS,Parceiro-1785
5,5,52,2022-01-11,"R$ 9.367,22",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-1963
3039,2713,30253,2022-01-11,"R$ 1.790.303,89",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2
8,8,176,2022-01-11,"R$ 5.339,01",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-2171
1054,935,13400,2022-01-11,"R$ 807.202,83",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-220
5648,5081,27857,2022-01-11,"R$ 988.911,16",Padrão,LOJA DE DEPARTAMENTOS,Parceiro-233
537,363,5705,2022-01-11,"R$ 588.154,96",Padrão,VIAGEM E TURISMO,Parceiro-262
72,67,792,2022-01-11,"R$ 44.476,87",Padrão,"MÓVEIS, CASA E DECORAÇÃO",Parceiro-395
